event_id,pid,px,py,pz,E,x_f,y_f,z_f,t_f
0,221,0.370513655,0.477257722,-2.17753346,2.3252981,5.68116,-3.00283,-3.3128,3.57733
0,-211,0.368733363,0.971036816,-0.377028536,1.11358489,5.78284,3.00182,-0.50361,1.44092
0,2212,-0.494480308,0.0107250518,-10.0553228,10.1110824,-6.45891,1.00049,-10.1358,10.239
0,321,-0.544866396,-1.0747019,-12.940243,13.005606,-5.73623,-3.00433,-13.1295,13.2093
0,321,0.0919619653,-0.272007103,-21.5493743,21.5569482,-3.69588,-3.69572,-46.3093,46.332
0,111,-0.00976312181,-0.635627087,-8.97242041,8.99597072,-3.03517,-5.83999,-13.1641,13.2438
0,113,0.394565206,-0.128278915,-41.2558507,41.2652339,-2.44692,-4.52877,-49.3208,49.3422
0,2112,0.222790422,-0.62523288,-59.3539822,59.3651042,-2.33377,0.333307,-81.3636,81.3765
0,223,-0.553243834,-0.122103146,-11.6733903,11.7133308,-2.33756,5.75656,-21.5668,21.6155
0,221,0.440069749,0.469346478,-0.759139563,1.13602129,-1.71173,6.60868,-2.02064,2.48794
0,-23222,0.346212368,-1.44310561,-2.09530921,3.1072878,-0.333407,-6.94388,-1.45336,2.05299
0,211,0.256100248,-0.00632332209,-16.0846816,16.0873134,1.02457,-1.6854,-83.4508,83.4634
0,-321,-0.119609202,0.126745737,29.4844922,29.4891452,0.999948,0.333411,86.6687,86.6808
0,327,-1.22408463,1.72703936,15.439712,15.6850225,1.00847,6.61556,7.85603,7.98886
0,111,0.202796861,-0.306466668,26.4456615,26.4485747,2.35833,-3.69664,62.5,62.5169
0,311,1.06258449,-0.162235285,16.3378136,16.3805859,3.83674,5.19661,12.8991,12.9805
0,113,0.334200792,-0.173331944,-4.36915497,4.4534734,4.24055,-4.91978,-6.00717,6.17955
0,221,0.462268657,0.694259994,27.8328138,27.8507004,4.25726,-2.95904,43.8199,43.8438
0,-321,0.100063969,-0.0482300444,-21.2183939,21.2244344,4.44082,0.339353,-44.323,44.3468
0,-2114,0.0417112135,0.137997217,7.10792519,7.21534528,4.31466,4.97522,7.53996,7.67803
0,10113,0.866450994,0.406099102,15.0307258,15.1112555,4.89928,4.26666,9.93887,10.044
0,-32112,1.29042349,-1.78124282,-15.794108,16.0316676,5.69654,-2.33678,-7.68307,7.81871
0,-211,-0.0196247864,0.288537862,1.98236254,2.00809474,5.86537,3.00132,2.61442,2.98962
0,111,0.28363213,-0.354397294,0.680935844,0.829917015,6.36433,1.6673,2.62769,3.00121
0,-313,-0.574702751,-0.344366066,-2.95754887,3.16095406,-4.7718,-4.77819,-3.83366,4.13459
0,-10323,-0.0241127642,0.89127034,17.6369863,17.7052595,-4.84344,3.57881,13.3463,13.4359
0,111,-0.36567462,0.132242312,-0.207380955,0.461797377,-2.91903,-6.16627,-0.625545,1.67085
0,1114,-0.442705704,-0.462959002,-5.32160631,5.49978518,-2.33437,-6.46353,-4.83019,5.0728
0,3216,-0.259690002,-0.213923273,27.5396749,27.5988681,-2.3999,-5.17112,29.4621,29.5029
0,111,-0.187281607,0.191601406,17.8492208,17.851765,-1.00022,-2.33373,82.5082,82.5227
0,32124,0.479343024,0.279023847,87.8676187,87.8862017,-1.00044,3.00106,79.046,79.0612
0,323,0.69625832,0.156836299,-49.7592862,49.772398,0.951849,5.4527,-35.0559,35.0901
0,211,1.27042167,0.0498088258,-47.4700428,47.4872663,2.29869,4.28079,-46.6031,46.6288
0,-12112,0.0327353149,0.219747989,-82.8960461,82.9088501,2.95682,-2.96354,-59.7684,59.7885
0,221,0.723984109,0.506483543,0.302351608,1.08277378,3.15987,5.91105,0.178218,1.56146
0,213,1.25993816,-0.231419593,-1.83210514,2.36638637,3.65506,-5.59598,-1.52436,2.17368
0,323,0.684023701,0.703007628,16.3596932,16.413328,3.69754,5.05963,17.8468,17.914
0,211,0.434132046,-1.05137966,-4.93078148,5.06216553,4.22349,-4.90113,-6.52209,6.7036
0,-313,1.05097178,0.520735411,-0.200153905,1.48708865,6.42875,0.333474,-0.176388,1.56001
0,-215,-0.381993642,-0.794434903,-2.25306747,2.75522665,-6.51182,-1.00023,-1.66491,2.34402
0,-211,-1.14829786,-0.195337485,0.723196462,1.37797019,-4.92664,4.30453,0.592596,1.75285
0,223,-0.196006862,0.327825792,-29.9128532,29.925537,-2.33544,5.00556,-39.7254,39.7596
0,-211,-0.283320565,0.123431322,-1.31863146,1.36137385,-1.66729,6.47221,-8.71767,8.87245
0,-321,-0.767897181,-0.862517511,-5.52130056,5.66236686,-1.00067,-6.78944,-5.27859,5.53047
0,2114,-1.20466194,-0.381871917,-22.7559983,22.8243361,-1.00228,6.23119,-18.2995,18.3737
0,32212,1.17855987,-2.07534485,2.28000705,3.69012083,-0.33348,-6.87501,1.12217,1.99544
0,321,0.0314613339,0.408243618,-39.4102383,39.415461,1.03366,-3.75383,-70.549,70.5684
0,213,-0.0477578616,0.73822061,84.3366059,84.3434202,1.66698,-1.66692,85.5856,85.6015
0,-211,-0.127329207,-0.0441724539,-13.7525346,13.7538873,1.66754,2.33421,-82.4998,82.5163
0,-211,-0.0926244427,0.822408194,-67.4577613,67.4629791,2.33182,1.66491,-81.7489,81.7656
0,-3112,0.645830614,-1.84389337,2.85153399,3.65540791,3.66839,-5.68116,2.25494,2.7942
0,10113,0.591998462,-0.119897525,-1.77526005,2.24233273,4.5732,4.55588,-3.0641,3.48067
0,113,0.506470665,-0.395373964,-1.07627891,1.47424062,5.41862,-3.45763,-2.19807,2.74755
0,2122,1.85653008,-0.402828357,10.4263333,10.7195849,6.48698,-0.333287,5.33365,5.58304
0,3112,-0.885716377,0.146869638,17.7587507,17.8211395,-5.64091,-0.334003,19.5103,19.5886
0,-211,0.146732394,-0.0693247748,20.9799566,20.9810381,-2.30862,-1.65104,81.209,81.2278
